Location,2008__Under 100%,2008__100-199%,2008__200-399%,2008__400%+,2008__Total,2009__Under 100%,2009__100-199%,2009__200-399%,2009__400%+,2009__Total,2010__Under 100%,2010__100-199%,2010__200-399%,2010__400%+,2010__Total,2011__Under 100%,2011__100-199%,2011__200-399%,2011__400%+,2011__Total,2012__Under 100%,2012__100-199%,2012__200-399%,2012__400%+,2012__Total,2013__Under 100%,2013__100-199%,2013__200-399%,2013__400%+,2013__Total,2014__Under 100%,2014__100-199%,2014__200-399%,2014__400%+,2014__Total,2015__Under 100%,2015__100-199%,2015__200-399%,2015__400%+,2015__Total,2016__Under 100%,2016__100-199%,2016__200-399%,2016__400%+,2016__Total,2017__Under 100%,2017__100-199%,2017__200-399%,2017__400%+,2017__Total,2018__Under 100%,2018__100-199%,2018__200-399%,2018__400%+,2018__Total,2019__Under 100%,2019__100-199%,2019__200-399%,2019__400%+,2019__Total,2021__Under 100%,2021__100-199%,2021__200-399%,2021__400%+,2021__Total,2022__Under 100%,2022__100-199%,2022__200-399%,2022__400%+,2022__Total,2023__Under 100%,2023__100-199%,2023__200-399%,2023__400%+,2023__Total,Footnotes
United States,0.1322,0.1772,0.3099,0.3807,1,0.1434,0.1836,0.3057,0.3674,1,0.1532,0.1906,0.3034,0.3528,1,0.159,0.1919,0.3005,0.3486,1,0.1587,0.1915,0.3001,0.3496,1,0.1582,0.1889,0.3002,0.3527,1,0.1548,0.1872,0.2992,0.3588,1,0.1473,0.1824,0.298,0.3723,1,0.1405,0.1771,0.2968,0.3855,1,0.1337,0.1758,0.298,0.3925,1,0.1308,0.1733,0.2964,0.3996,1,0.12336,0.16606,0.29554,0.41504,1,0.12806,0.15829,0.29232,0.4213,1,0.12562,0.15755,0.29647,0.42037,1,0.124482472,0.15777052,0.298221508,0.4195255,1,1
Alabama,0.158,0.2057,0.3179,0.3183,1,0.1736,0.2158,0.3091,0.3015,1,0.191,0.2113,0.3039,0.2939,1,0.1914,0.2143,0.304,0.2902,1,0.1872,0.2106,0.3108,0.2914,1,0.1894,0.2121,0.3105,0.288,1,0.1945,0.2061,0.3045,0.2949,1,0.1889,0.2017,0.3061,0.3032,1,0.1729,0.1992,0.3093,0.3186,1,0.1679,0.2081,0.3097,0.3143,1,0.1679,0.1975,0.3112,0.3235,1,0.15446,0.20116,0.31436,0.33002,1,0.15983,0.19279,0.31817,0.3292,1,0.16481,0.18698,0.31235,0.33587,1,0.156119482,0.189567836,0.320562986,0.333749696,1,
Alaska,0.0812,0.1519,0.303,0.4639,1,0.0917,0.1479,0.3158,0.4446,1,0.1107,0.159,0.2916,0.4386,1,0.1031,0.1678,0.2811,0.448,1,0.1144,0.1514,0.2775,0.4567,1,0.0905,0.1506,0.2876,0.4712,1,0.1253,0.151,0.264,0.4597,1,0.1033,0.1705,0.2893,0.4369,1,0.1056,0.1459,0.2792,0.4694,1,0.1172,0.1561,0.2696,0.4571,1,0.1073,0.1461,0.2946,0.452,1,0.107,0.13699,0.31352,0.4425,1,0.11004,0.13007,0.3236,0.4363,1,0.1144,0.13638,0.28222,0.46699,1,0.106104211,0.137261956,0.28428551,0.472348323,1,
Arizona,0.146,0.1959,0.317,0.3411,1,0.1655,0.1979,0.3133,0.3233,1,0.1753,0.2156,0.3031,0.3059,1,0.1914,0.209,0.3091,0.2905,1,0.1833,0.2122,0.3037,0.3008,1,0.1859,0.2101,0.3023,0.3016,1,0.1803,0.207,0.3039,0.3089,1,0.1734,0.1982,0.3099,0.3186,1,0.165,0.1961,0.3122,0.3268,1,0.1474,0.1972,0.3111,0.3443,1,0.139,0.1976,0.3136,0.3497,1,0.13393,0.18488,0.32108,0.36011,1,0.12871,0.17128,0.31332,0.3867,1,0.12564,0.17004,0.31856,0.38576,1,0.124406152,0.162367217,0.315759685,0.397466946,1,
Arkansas,0.1711,0.2437,0.3161,0.2691,1,0.1843,0.2296,0.3173,0.2688,1,0.1877,0.2413,0.3107,0.2603,1,0.1869,0.2426,0.3182,0.2522,1,0.1907,0.2367,0.3209,0.2517,1,0.1924,0.2407,0.3118,0.255,1,0.1884,0.2409,0.3193,0.2514,1,0.1941,0.2209,0.3184,0.2666,1,0.1723,0.2341,0.3153,0.2783,1,0.1619,0.2264,0.3258,0.286,1,0.174,0.2241,0.3198,0.2821,1,0.16511,0.22836,0.3113,0.29523,1,0.16401,0.21294,0.32585,0.2972,1,0.16754,0.208,0.32609,0.29838,1,0.152023377,0.215125998,0.326503269,0.306347356,1,
California,0.1328,0.1862,0.282,0.3989,1,0.142,0.1948,0.2826,0.3806,1,0.1578,0.2022,0.2773,0.3627,1,0.1665,0.2072,0.2721,0.3542,1,0.1687,0.2028,0.274,0.3544,1,0.1671,0.2003,0.272,0.3606,1,0.164,0.1959,0.2723,0.3677,1,0.1534,0.1907,0.2732,0.3827,1,0.1438,0.1831,0.2747,0.3984,1,0.1322,0.1763,0.2789,0.4126,1,0.1275,0.1704,0.2748,0.4272,1,0.11799,0.16185,0.27661,0.44355,1,0.1232,0.15293,0.27292,0.4509,1,0.12062,0.15311,0.2748,0.45147,1,0.119778094,0.152324128,0.275574783,0.452322995,1,
Colorado,0.1151,0.1616,0.3009,0.4224,1,0.1294,0.1594,0.2957,0.4155,1,0.1313,0.1747,0.2982,0.3958,1,0.1335,0.1788,0.2906,0.3971,1,0.1369,0.1692,0.3032,0.3907,1,0.1296,0.1697,0.3055,0.3951,1,0.1222,0.1651,0.3019,0.4107,1,0.1156,0.1622,0.2989,0.4232,1,0.108,0.159,0.3004,0.4326,1,0.1031,0.1518,0.2974,0.4476,1,0.0975,0.1499,0.2952,0.4573,1,0.09369,0.13949,0.28265,0.48418,1,0.09859,0.12807,0.27601,0.4973,1,0.09234,0.12887,0.27483,0.50396,1,0.093765563,0.117367226,0.279474566,0.509392645,1,
Connecticut,0.0934,0.1119,0.2539,0.5408,1,0.0958,0.1161,0.2674,0.5206,1,0.0989,0.1303,0.2733,0.4975,1,0.1092,0.1328,0.2514,0.5066,1,0.1079,0.1323,0.2643,0.4954,1,0.1052,0.1349,0.2643,0.4956,1,0.1022,0.14,0.2457,0.5121,1,0.1027,0.124,0.2507,0.5226,1,0.0947,0.1239,0.2487,0.5326,1,0.0937,0.1294,0.2635,0.5134,1,0.1035,0.1328,0.2346,0.5292,1,0.10181,0.12588,0.2364,0.53592,1,0.10093,0.12088,0.24617,0.532,1,0.09903,0.11871,0.25059,0.53167,1,0.102573711,0.126332549,0.245634326,0.525459414,1,
Delaware,0.1123,0.1495,0.2951,0.4431,1,0.1111,0.1646,0.3041,0.4202,1,0.1208,0.1569,0.3087,0.4136,1,0.1228,0.1665,0.3028,0.408,1,0.1223,0.1787,0.2973,0.4016,1,0.1297,0.1745,0.2959,0.3999,1,0.1297,0.1439,0.317,0.4093,1,0.1353,0.1476,0.2988,0.4182,1,0.1165,0.1377,0.3094,0.4363,1,0.1291,0.1463,0.2745,0.4501,1,0.1179,0.155,0.2867,0.4403,1,0.10902,0.13687,0.28921,0.4649,1,0.11233,0.13993,0.2911,0.4566,1,0.08661,0.1307,0.3093,0.4734,1,0.106943474,0.135381633,0.291067122,0.466607772,1,
District of Columbia,0.1752,0.1424,0.2207,0.4617,1,0.1855,0.1452,0.2171,0.4522,1,0.1938,0.1437,0.2142,0.4482,1,0.1893,0.128,0.2124,0.4702,1,0.1747,0.1411,0.1969,0.4873,1,0.1936,0.1532,0.199,0.4541,1,0.1683,0.1391,0.2184,0.4742,1,0.1644,0.1449,0.1974,0.4933,1,0.1905,0.114,0.1974,0.4981,1,0.164,0.1316,0.1799,0.5245,1,0.1662,0.1081,0.1864,0.5393,1,0.14289,0.11164,0.1827,0.56277,1,0.16492,0.08474,0.17517,0.5752,1,0.13299,0.09888,0.17299,0.59514,1,0.138758818,0.078806464,0.178801355,0.603633363,1,
