Location,2008__Adults 19-25,2008__Adults 26-34,2008__Adults 35-54,2008__Adults 55-64,2008__65+,2009__Adults 19-25,2009__Adults 26-34,2009__Adults 35-54,2009__Adults 55-64,2009__65+,2010__Adults 19-25,2010__Adults 26-34,2010__Adults 35-54,2010__Adults 55-64,2010__65+,2011__Adults 19-25,2011__Adults 26-34,2011__Adults 35-54,2011__Adults 55-64,2011__65+,2012__Adults 19-25,2012__Adults 26-34,2012__Adults 35-54,2012__Adults 55-64,2012__65+,2013__Adults 19-25,2013__Adults 26-34,2013__Adults 35-54,2013__Adults 55-64,2013__65+,2014__Adults 19-25,2014__Adults 26-34,2014__Adults 35-54,2014__Adults 55-64,2014__65+,2015__Adults 19-25,2015__Adults 26-34,2015__Adults 35-54,2015__Adults 55-64,2015__65+,2016__Adults 19-25,2016__Adults 26-34,2016__Adults 35-54,2016__Adults 55-64,2016__65+,2017__Adults 19-25,2017__Adults 26-34,2017__Adults 35-54,2017__Adults 55-64,2017__65+,2018__Adults 19-25,2018__Adults 26-34,2018__Adults 35-54,2018__Adults 55-64,2018__65+,2019__Adults 19-25,2019__Adults 26-34,2019__Adults 35-54,2019__Adults 55-64,2019__65+,2021__Adults 19-25,2021__Adults 26-34,2021__Adults 35-54,2021__Adults 55-64,2021__65+,2022__Adults 19-25,2022__Adults 26-34,2022__Adults 35-54,2022__Adults 55-64,2022__65+,2023__Adults 19-25,2023__Adults 26-34,2023__Adults 35-54,2023__Adults 55-64,2023__65+,Footnotes
United States,0.0923,0.1179,0.2906,0.1132,0.126,0.0927,0.1201,0.2852,0.1158,0.1272,0.0926,0.1181,0.2823,0.1212,0.1301,0.0934,0.1188,0.2781,0.1246,0.1323,0.0936,0.1197,0.2744,0.1254,0.137,0.094,0.1204,0.2705,0.1268,0.141,0.0934,0.1212,0.2674,0.1281,0.1448,0.0926,0.1215,0.2648,0.1295,0.1484,0.0909,0.1225,0.2617,0.1306,0.1524,0.0894,0.1233,0.2597,0.1314,0.1561,0.088,0.1243,0.2574,0.1315,0.1605,0.08708,0.12472,0.25522,0.13175,0.16534,0.08468,0.12271,0.25712,0.13124,0.16944,0.08739,0.12281,0.25671,0.12861,0.17385,0.084410651,0.122689287,0.25783096,0.127054806,0.17760497,1
Alabama,0.095,0.1125,0.2816,0.1175,0.1353,0.0925,0.1164,0.2773,0.1202,0.1369,0.0939,0.1125,0.2757,0.1262,0.1375,0.0943,0.1116,0.2738,0.1292,0.1396,0.0953,0.1115,0.2698,0.1298,0.1442,0.0939,0.1134,0.2649,0.131,0.149,0.0942,0.1133,0.2629,0.1329,0.1541,0.0898,0.1152,0.2605,0.1335,0.1577,0.0903,0.1145,0.258,0.1346,0.1613,0.0908,0.1131,0.2546,0.1362,0.1653,0.0883,0.1166,0.2509,0.1361,0.1706,0.08695,0.11527,0.25073,0.13531,0.1751,0.08704,0.11273,0.25078,0.13665,0.1766,0.08779,0.11732,0.24864,0.13222,0.18083,0.086540379,0.112591265,0.252062907,0.129627158,0.183722983,
Alaska,0.1132,0.1217,0.2892,0.1203,0.0735,0.1028,0.1216,0.2907,0.117,0.0766,0.0935,0.1251,0.2922,0.1249,0.0769,0.1015,0.1263,0.2819,0.1299,0.083,0.1059,0.1288,0.2776,0.1335,0.0845,0.1068,0.1362,0.265,0.1261,0.0941,0.1089,0.1308,0.2614,0.1306,0.096,0.1113,0.1361,0.2513,0.1306,0.1,0.1015,0.1415,0.2511,0.1315,0.1029,0.0895,0.1378,0.2585,0.1301,0.1133,0.0878,0.1318,0.2577,0.1327,0.1205,0.09308,0.13897,0.24641,0.13221,0.13041,0.08471,0.13176,0.25796,0.12481,0.13711,0.08833,0.13406,0.25291,0.13023,0.13915,0.071261956,0.138021413,0.2653005,0.123296217,0.143184868,
Arizona,0.09,0.1259,0.2659,0.1052,0.1337,0.0922,0.1287,0.2627,0.1078,0.132,0.0931,0.1191,0.2613,0.1162,0.1399,0.0953,0.1174,0.2588,0.1189,0.1438,0.0945,0.1178,0.2569,0.1185,0.1506,0.0952,0.1193,0.2523,0.1197,0.1554,0.0961,0.1165,0.2512,0.1199,0.1614,0.0949,0.1172,0.2497,0.1209,0.1661,0.0941,0.1178,0.2462,0.1213,0.1715,0.0931,0.1192,0.2451,0.1228,0.1733,0.0922,0.1201,0.2431,0.1231,0.1779,0.09253,0.12123,0.24064,0.12362,0.18225,0.08803,0.12314,0.24452,0.12234,0.18632,0.09523,0.12278,0.24302,0.11963,0.18962,0.089135043,0.124830533,0.243761913,0.120055895,0.195438104,
Arkansas,0.0904,0.1137,0.2756,0.117,0.1409,0.0898,0.1175,0.2716,0.1196,0.1399,0.0912,0.1113,0.2704,0.124,0.1431,0.089,0.1171,0.2657,0.1268,0.1447,0.0913,0.1165,0.2629,0.1257,0.149,0.0891,0.1177,0.2589,0.1267,0.1526,0.0888,0.1149,0.2578,0.1271,0.156,0.0902,0.1161,0.2561,0.1283,0.1591,0.0907,0.1133,0.2513,0.129,0.1629,0.0911,0.1133,0.2497,0.1296,0.1652,0.0874,0.1182,0.2474,0.1302,0.1674,0.08676,0.11483,0.24763,0.13112,0.17303,0.08736,0.11466,0.24722,0.13038,0.17427,0.09184,0.11112,0.2494,0.12716,0.17741,0.08723053,0.115979148,0.249572147,0.125220905,0.178659382,
California,0.1009,0.1258,0.2884,0.1015,0.1117,0.0975,0.1292,0.285,0.1055,0.1115,0.1011,0.1269,0.282,0.1105,0.1144,0.102,0.1271,0.2791,0.1136,0.1167,0.1026,0.1274,0.2765,0.1145,0.1212,0.1024,0.1292,0.2732,0.1163,0.1255,0.1013,0.1313,0.271,0.1179,0.1291,0.0996,0.1323,0.269,0.1198,0.133,0.0975,0.1333,0.267,0.1207,0.1368,0.0955,0.1354,0.2655,0.1219,0.1398,0.0928,0.1368,0.2636,0.1223,0.1439,0.0916,0.13686,0.26272,0.12296,0.14851,0.08745,0.13384,0.2658,0.1234,0.15311,0.08933,0.1335,0.26623,0.12164,0.15874,0.087108876,0.131572982,0.266949689,0.121617487,0.162843547,
Colorado,0.0933,0.132,0.2995,0.1126,0.1031,0.0942,0.1298,0.2937,0.1157,0.1058,0.0934,0.1279,0.2887,0.1221,0.109,0.094,0.1295,0.2848,0.1251,0.1124,0.0948,0.1294,0.2793,0.1262,0.1179,0.0945,0.1297,0.2752,0.1266,0.1227,0.0937,0.1333,0.2706,0.1273,0.1277,0.0933,0.1361,0.2675,0.1276,0.1307,0.093,0.1346,0.2679,0.1281,0.135,0.0902,0.1388,0.2658,0.1277,0.1395,0.0891,0.1389,0.2648,0.1261,0.1431,0.08891,0.14113,0.26527,0.12591,0.14813,0.08556,0.14107,0.27014,0.12313,0.15308,0.08986,0.14159,0.27016,0.1195,0.15758,0.085720514,0.142891106,0.273303697,0.116892436,0.161776315,
Connecticut,0.0823,0.1023,0.3135,0.1193,0.1337,0.0842,0.1056,0.3059,0.1222,0.1352,0.0817,0.1043,0.3026,0.1275,0.1399,0.0804,0.1068,0.2982,0.132,0.1419,0.0837,0.1058,0.2927,0.1329,0.147,0.0823,0.1106,0.2858,0.1369,0.1499,0.0835,0.1098,0.2834,0.1385,0.1537,0.0874,0.1081,0.2777,0.1419,0.1563,0.088,0.1099,0.2719,0.1447,0.1604,0.0856,0.1135,0.2665,0.1465,0.1663,0.0841,0.1117,0.265,0.1472,0.1705,0.08623,0.11309,0.25925,0.14786,0.17676,0.08319,0.11431,0.2587,0.14699,0.1804,0.08261,0.11463,0.25753,0.14526,0.18411,0.078475155,0.116741382,0.256628177,0.143186658,0.191060838,
Delaware,0.0904,0.1086,0.2876,0.1209,0.1358,0.085,0.1197,0.2836,0.123,0.1415,0.0921,0.1117,0.2809,0.1275,0.1431,0.0865,0.1138,0.2779,0.1301,0.1483,0.0941,0.1091,0.2726,0.1308,0.1553,0.0872,0.1166,0.271,0.1325,0.1581,0.0927,0.1122,0.2605,0.1367,0.1642,0.0895,0.1151,0.258,0.1376,0.1693,0.0806,0.1212,0.253,0.1414,0.1762,0.0842,0.1186,0.2485,0.1427,0.1825,0.0818,0.117,0.2486,0.1433,0.1897,0.08069,0.118,0.24158,0.14431,0.19695,0.07789,0.11306,0.24343,0.147,0.20079,0.07422,0.11751,0.23694,0.14344,0.21101,0.077421471,0.106980366,0.240595146,0.139841641,0.21642655,
District of Columbia,0.1114,0.1613,0.2848,0.115,0.1181,0.1072,0.1696,0.2832,0.1163,0.1159,0.1323,0.1863,0.2703,0.1094,0.1177,0.1157,0.2039,0.2655,0.1126,0.115,0.1076,0.2074,0.2658,0.1111,0.1162,0.1128,0.2074,0.2663,0.1111,0.116,0.1037,0.2134,0.2706,0.1088,0.1151,0.1045,0.2123,0.27,0.1112,0.1128,0.102,0.2107,0.2699,0.1071,0.1188,0.0976,0.2152,0.2686,0.1037,0.1241,0.0964,0.2117,0.2686,0.1047,0.1236,0.09029,0.21555,0.26931,0.10305,0.127,0.07922,0.21021,0.27771,0.10255,0.13203,0.08908,0.19823,0.28372,0.09648,0.13405,0.087064811,0.200711131,0.283980353,0.096103329,0.135070037,
